Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),DEPTH
HYPE_USDT,WARNING,00:12:01,A2:HIGH,WARNING,01:07:08,A2:HIGH,WARNING,04:07:54,A2:HIGH,WARNING,06:14:54,A2:HIGH,WARNING,07:52:51,A2:HIGH,WARNING,09:45:52,A2:HIGH,WARNING,11:33:05,A2:HIGH,CHECKED,13:06:50,A2:HIGH,WARNING,14:53:56,A2:HIGH,WARNING,16:15:28,A2:HIGH,WARNING,17:14:29,A2:HIGH,$19.3K / $29.1K
LINK_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$30.8K / $31.3K
LSK_USDT,CHECKED,00:12:01,A4:MEDIUM,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,A4:MEDIUM,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,,CHECKED,17:14:29,,$6.7K / $8.6K
LTC_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,A2:HIGH,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$41.4K / $41.4K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,WARNING,13:06:50,A2:HIGH|A4:MEDIUM,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$14.7K / $20.0K
POL_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,A2:HIGH,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$115.3K / $138.6K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$30.3K / $30.3K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$40.5K / $50.0K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,A4:MEDIUM,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,A4:MEDIUM,CHECKED,09:45:52,,CHECKED,11:33:05,A4:MEDIUM,CHECKED,13:06:50,A4:MEDIUM,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,,CHECKED,17:14:29,,$5.6K / $6.2K
TON_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,A4:MEDIUM,CHECKED,04:07:54,A4:MEDIUM,CHECKED,06:14:54,A4:MEDIUM,CHECKED,07:52:51,A4:MEDIUM,CHECKED,09:45:52,A4:MEDIUM,CHECKED,11:33:05,A4:MEDIUM,CHECKED,13:06:50,A4:MEDIUM,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,A4:MEDIUM,CHECKED,17:14:29,A4:MEDIUM,$2.6K / $3.2K
TRX_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$420.8K / $420.8K
USDC_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$1.04M / $1.41M
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,A2:HIGH,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,A2:HIGH,$57.3K / $57.3K
XRP_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$96.0K / $96.0K
XYO_USDT,CHECKED,00:12:01,A4:MEDIUM,CHECKED,01:07:08,A4:MEDIUM,CHECKED,04:07:54,A4:MEDIUM,CHECKED,06:14:54,A4:MEDIUM,CHECKED,07:52:51,A4:MEDIUM,CHECKED,09:45:52,A4:MEDIUM,CHECKED,11:33:05,A4:MEDIUM,CHECKED,13:06:50,A4:MEDIUM,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,A4:MEDIUM,CHECKED,17:14:29,A4:MEDIUM,$864 / $1.2K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$2092.07M / $2092.07M
USDT_NGN,CHECKED,00:12:01,A2:HIGH,CHECKED,01:07:08,A2:HIGH,CHECKED,04:07:54,A2:HIGH,CHECKED,06:14:54,A2:HIGH,CHECKED,07:52:51,A2:HIGH,CHECKED,09:45:52,A2:HIGH,CHECKED,11:33:05,A2:HIGH,CHECKED,13:06:50,A2:HIGH,CHECKED,14:53:56,A2:HIGH,CHECKED,16:15:28,A2:HIGH,CHECKED,17:14:29,A2:HIGH,$3790.52M / $3790.52M
ETH_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$1005.97M / $1005.97M
TRX_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$989.95M / $989.95M
XRP_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$178.69M / $178.69M
DASH_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$34.77M / $34.77M
LTC_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,SKIPPED,,,SKIPPED,,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$253.47M / $253.47M
SOL_NGN,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$115.65M / $115.65M
USDC_NGN,CHECKED,00:12:01,A2:HIGH,CHECKED,01:07:08,A2:HIGH,CHECKED,04:07:54,A2:HIGH,CHECKED,06:14:54,A2:HIGH,CHECKED,07:52:51,A2:HIGH,CHECKED,09:45:52,A2:HIGH,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,A2:HIGH,$832.45M / $1233.33M
USDT_GHS,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$4.26M / $5.63M
