Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
LINK_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$51.5K / $51.5K
LSK_USDT,CHECKED,01:27:00,A4:MEDIUM,CHECKED,05:57:38,A4:MEDIUM,CHECKED,10:58:17,A4:MEDIUM,$457 / $597
LTC_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$87.5K / $87.5K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$22.9K / $30.9K
POL_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$70.3K / $70.3K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$22.9K / $22.9K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$90.9K / $114.3K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,01:27:00,A4:MEDIUM,CHECKED,05:57:38,,CHECKED,10:58:17,A4:MEDIUM,$4.2K / $4.5K
TON_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,A4:MEDIUM,CHECKED,10:58:17,A4:MEDIUM,$2.1K / $3.6K
TRX_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$692.7K / $692.7K
USDC_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$1.09M / $1.09M
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$100.2K / $100.2K
XRP_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$96.1K / $96.1K
XYO_USDT,CHECKED,01:27:00,A4:MEDIUM,CHECKED,05:57:38,A4:MEDIUM,CHECKED,10:58:17,A4:MEDIUM,$1.6K / $2.1K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$2286.39M / $2286.39M
USDT_NGN,CHECKED,01:27:00,A2:HIGH,CHECKED,05:57:38,A2:HIGH,CHECKED,10:58:17,A2:HIGH,$1125.08M / $3225.84M
ETH_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$1295.87M / $1295.87M
TRX_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$839.77M / $839.77M
XRP_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$243.91M / $243.91M
DASH_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$61.43M / $61.43M
LTC_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$158.22M / $158.22M
SOL_NGN,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$302.80M / $302.80M
USDC_NGN,CHECKED,01:27:00,A2:HIGH,CHECKED,05:57:38,A2:HIGH,CHECKED,10:58:17,A2:HIGH,$4386.28M / $5736.08M
USDT_GHS,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$3.46M / $4.66M
